name,value,components,number of components
male,1516,,
female,644,,
,,,
public,1093,,
private,840,,
academia,117,,
NGOs,71,,
,,,
Trade Policy Strategy,60,,
Creative Economy Strategy,60,,
National Entrepreneurship Strategy,40,,
Institutional investment facilitation strategy,10,,
Investment Policy Review of Angola,100,,
Review of International Investment Agreements,100,,
Sustainable investment promotion strategy for agriculture,50,,
Fisheries Export strategy,40,,
Honey policy,40,,
Honey residue monitoring plans,40,,
National Trade Facilitation Strategy,40,,
Corridor review,10,,
Public-Private Partnership Law,100,,
Public-Private Partnership decree,100,,
,,,
Bengo,7,National Green Export Review (NGER),1
Benguela,24,Commercial Diplomacy;National Green Export Review (NGER);Transport & Logistics,1
Bié,34,Creative Industries;EMPRETEC;National Green Export Review (NGER),1
Cabinda,3,Commercial Diplomacy;National Green Export Review (NGER),1
Cunene,18,National Green Export Review (NGER);EMPRETEC;Creative Industries,1
Huambo,110,Commercial Diplomacy;EMPRETEC;National Green Export Review (NGER),1
Huíla,80,Creative Industries;EMPRETEC;National Green Export Review (NGER);Trade Facilitation;Transport & Logistics,1
Kuando-Kubango,4,National Green Export Review (NGER),1
Kwanza-Norte,28,EMPRETEC;National Green Export Review (NGER),1
Kwanza-Sul,55,Commercial Diplomacy;Creative Industries;EMPRETEC;National Green Export Review (NGER),1
Luanda,970,Commercial Diplomacy;Creative Industries;EMPRETEC;Investment (IPR);National Green Export Review (NGER);Trade Facilitation;Transport & Logistics,1
Lunda Norte,1,National Green Export Review (NGER),1
Lunda Sul,5,Commercial Diplomacy;National Green Export Review (NGER),1
Malanje,31,EMPRETEC;National Green Export Review (NGER);Transport & Logistics,1
Moxico,59,Commercial Diplomacy;EMPRETEC;National Green Export Review (NGER);Transport & Logistics,1
Namibe,14,Commercial Diplomacy;EMPRETEC;Transport & Logistics,1
Uíge,187,Commercial Diplomacy;EMPRETEC;National Green Export Review (NGER),1
Zaire,5,Creative Industries;Commercial Diplomacy;EMPRETEC;Transport & Logistics,1
